departure_code,arrival_code,distance_miles
AKJ,HND,576
HND,AKJ,576
AOJ,CTS,153
CTS,AOJ,153
AOJ,ITM,523
ITM,AOJ,523
ASJ,KKX,16
KKX,ASJ,16
ASJ,KOJ,242
KOJ,ASJ,242
ASJ,RNJ,125
RNJ,ASJ,125
ASJ,TKN,65
TKN,ASJ,65
AXJ,FUK,78
FUK,AXJ,78
AXJ,KMJ,42
KMJ,AXJ,42
AXT,HND,279
HND,AXT,279
AXT,ITM,439
ITM,AXT,439
CTS,AOJ,153
AOJ,CTS,153
CTS,HIJ,749
HIJ,CTS,749
CTS,HNA,226
HNA,CTS,226
CTS,MMB,148
MMB,CTS,148
FUJ,FUK,113
FUK,FUJ,113
FUJ,NGS,67
NGS,FUJ,67
FUK,ASJ,360
ASJ,FUK,360
FUK,AXJ,78
AXJ,FUK,78
FUK,FUJ,113
FUJ,FUK,113
FUK,HNA,724
HNA,FUK,724
FUK,IZO,188
IZO,FUK,188
FUK,KCZ,187
KCZ,FUK,187
FUK,KMI,131
KMI,FUK,131
FUK,KOJ,125
KOJ,FUK,125
FUK,KUM,225
KUM,FUK,225
FUK,MYJ,131
MYJ,FUK,131
FUK,SDJ,665
SDJ,FUK,665
FUK,TKS,242
TKS,FUK,242
FUK,TSJ,81
TSJ,FUK,81
HIJ,CTS,749
CTS,HIJ,749
HIJ,HND,414
HND,HIJ,414
HKD,HND,424
HND,HKD,424
HKD,ITM,578
ITM,HKD,578
HKD,OIR,74
OIR,HKD,74
HND,ASJ,787
ASJ,HND,787
HND,KKJ,534
KKJ,HND,534
HND,KMI,561
KMI,HND,561
HND,MSJ,355
MSJ,HND,355
HND,SHM,303
SHM,HND,303
IKI,NGS,60
NGS,IKI,60
ISG,MMY,72
MMY,ISG,72
ISG,OGN,80
OGN,ISG,80
ITM,AOJ,523
AOJ,ITM,523
ITM,ASJ,541
ASJ,ITM,541
ITM,AXT,439
AXT,ITM,439
ITM,GAJ,385
GAJ,ITM,385
ITM,HKD,578
HKD,ITM,578
ITM,HNA,474
HNA,ITM,474
ITM,IZO,148
IZO,ITM,148
ITM,KIJ,314
KIJ,ITM,314
ITM,KMI,292
KMI,ITM,292
ITM,KUM,402
KUM,ITM,402
ITM,MSJ,536
MSJ,ITM,536
ITM,NRT,280
NRT,ITM,280
ITM,OIT,219
OIT,ITM,219
KCZ,HND,393
HND,KCZ,393
KIJ,ITM,314
ITM,KIJ,314
KIX,HND,280
HND,KIX,280
